㖈	䎛
㘽	㦳
㦳	㘽
㫚	曶
䆋	龝
䎛	㖈
丄	上
丅	下
上	丄
下	丅
丌	其
不	不
世	丗
丗	世
丘	丠
両	兩
丣	酉
並	幷
丬	爿
丱	卝
串	串
丹	丹
为	為
乃	廼
久	乆
乆	久
乇	虐
乕	虎
乗	乘
乘	乗
乩	稽
亀	龜
亁	乾
了	了
予	豫
亊	事
事	亊
二	贰
于	扵
亓	其
五	伍
亗	歲
亘	亙
亜	亞
亝	齊
亞	亜
亡	亾
产	產
京	亰
亮	亮
亯	享
亰	京
亱	夜
亷	廉
什	什
仁	忈
仂	働
仃	停
仇	讐
仏	佛
仙	僊
仝	同
仞	仭
仟	千
令	令
仭	仞
仮	假
任	仼
仼	任
份	彬
仿	倣
伍	五
伙	夥
伜	倅
伝	傳
伩	信
伲	你
佈	布
佔	占
佛	仏
佞	侫
你	妳
佰	百
併	倂
侄	姪
來	來
侉	誇
価	價
侫	佞
侭	儘
便	便
俊	儁
俎	爼
俞	兪
俟	竢
信	伩
俥	伡
俱	倶
俲	效
俻	備
倂	併
倅	伜
倖	幸
借	藉
倣	仿
値	值
倫	倫
倶	俱
倹	儉
值	値
假	仮
停	仃
偷	偸
偸	偷
偹	備
偽	僞
傢	家
傤	儎
僊	仙
働	仂
像	象
僚	僚
僞	偽
僣	僭
僥	徺
僭	僣
儁	俊
儌	僥
儎	傤
兀	兀
兇	凶
光	灮
兎	兔
児	兒
兔	兎
兦	亡
兩	両
六	六
其	丌
兿	藝
円	圓
冐	冒
冑	胄
冗	宂
冝	宜
冢	塚
冤	寃
冦	寇
冨	富
冪	羃
冬	鼕
冰	氷
冱	沍
冲	沖
冷	冷
冽	洌
净	淨
凃	塗
凄	淒
凅	涸
凋	雕
凌	凌
凖	準
凡	凢
凢	凡
凣	凡
処	處
凨	風
凴	憑
凶	兇
凷	塊
出	岀
凼	幽
函	凾
凾	函
刀	刂
刂	刀
刃	刄
刄	刃
切	切
刈	苅
刊	刋
刋	刊
刔	抉
列	列
刦	劫
利	利
刱	剏
刴	剁
刺	刾
刼	劫
刾	刺
剁	刴
剏	刱
剙	創
剣	劍
剤	劑
剩	剰
剰	剩
剱	劍
剳	箚
創	剙
